Name,Writer,Likes,Genre,Rating,Subscribers,Summary,Update
The Makeup Remover,Lee Yone,9.3,Romance,9.7,1.0,"After years of being told to focus on studying, Yeseul feels lost when she starts college and is suddenly expected to pay attention to makeup. When a chance encounter with brilliant makeup artist Yuseong leads to her taking part in a televised makeup competition, Yeseul begins to question the role that makeup and appearance play in society."," TUE, FRI"
Acception,Colourbee,10.2,Drama,9.07,750.6,"With his rainbow-colored hair and love of all things fashion, Arcus is anything BUT your average teenager. He's an upbeat independent thinker, proud fashionista, and like the rest of us, is just looking for a few friends to call his own. 
 Acception may be Arcus' story , but it's all OUR stories too - and it is for anyone who's ever struggled to fit in, find love, or thought that High School was pretty much the worst thing ever invented."," TUE, FRI"
She's Hopeless,Seokwoo,1.5,Drama,9.66,669.6,"Though she comes from a rich family, Gabin is a bullied loner at school. That doesn't mean she puts up with bullying from other students, though -- Gabin is infamous for her fierce personality. Worried about Gabin's well-being, her family secretly offers Tae-ung $500,000 to transfer schools and act as her bodyguard. Will Tae-ung be able to protect her from the school bullies, all while keeping his identity hidden from Gabin and the other students?", SATURDAY
The Blood of the Butterfly,SAM,8.3,Fantasy,9.75,332.3,"When a swarm of giant bugs threatens to wipe out humanity, the world's only defense is a group of humans with special abilities called Butterflies. For Maehwa Baek, Butterflies are just heroic people he sees on TV until a tragic event brings him to the scientists that created them. Soon, Maehwa must confront questions about himself that he has long avoided: why does he lose control at the sight of his own blood? And what happened during the 13 years of his life that he can't remember?", SATURDAY
Your Throne,Remin,217959.0,Fantasy,9.81,1.2,"Tensions are brewing under the seemingly calm surface of the Vasilios Empire, a kingdom ruled by the Imperial Family and the Temple. Lady Medea Solon has lost her place next to Crown Prince Eros, but resolves to do whatever it will take to win back what's rightfully hers. Will she reclaim her throne?", SATURDAY
To Love Your Enemy,Jungyoon / Taegeon,10.8,Romance,9.74,1.7,"Having mastered the art of lying her way through life, Yeonhee Bae has vowed to leave her past behind and make a fresh start for herself by going to college at 24. But when she runs into someone who knows a secret from her past that could completely ruin her reputation, her hopes for a perfect life suddenly start to crumble. Amidst college gossip, crushes, and jealousy, can the two set aside their differences and embrace each other for who they really are?", MONDAY
Sixth Sense Kiss,Got W / Jocobong,790313.0,Romance,9.71,485.1,"Yesul Hong has a secret -- when she kisses someone, she can see flashes of their future. It's hard to believe she's ever met the right guy when she can't even see herself in their destiny. She doesn't get much use out of her ability until one day, when she accidentally kisses her evil boss, Minhu Cha, who's got a secret of his own. To her utter shock, she sees a vision of herselfâ€¦ in bed with him! As if that's not confusing enough, she shows up to work the next day to find out that her first love has been hired to work in her department. Will she be able to survive working with the man she wished had been her destiny and the man she's destined to be with?", SATURDAY
Weak Hero,SEOPASS / RAZEN,9.9,Action,9.85,1.0,"Once the bullies target you, it's game over. The school is run by tyrants whose favorite hobby is tormenting the weakest kids in class. But then Gray arrived. This mysterious new student threatens to dismantle the established order. He may be small in stature, but his calculative and brutal fighting leaves unsuspecting opponents lying on the floor begging for mercy. Now the school's toughest bullies have to scramble to take down this new and unusual hero.", THURSDAY
Shotgun Boy,Carnby Kim / Hongpil,1.7,Thriller,9.83,620.8,"While running for his life in the woods, bullying victim Gyuhwan stumbles upon a shotgun and just enough shells for his classmates. It's a recipe for disaster. But fate takes an unexpected turn when he returns to find his classmates under attack by brain-eating creatures. Now, the only thing that stands in the way of their ravenous feast is a boy with a shotgun.", THURSDAY
Love Me Knot,Sophia,3.8,Romance,9.37,838.8,"You'd think that being able to see the Red String of Fate would make finding your soulmate a lot easier. But for Avery, the blossoming romanceâ€‹ around her only emphasizes her own string... with no one attached to the other end. Is Avery destined to live a loveless life, or can she tailor her own romance?", WEDNESDAY
Muted,Miranda Mundt,5.6,Supernatural,9.71,724.0,"On the full moon of her 21st year, the young witch, Camille Severin, is expected to perform the traditional ritual to summon forth a winged demon for her families success and prosperity. But when the ritual goes wrong, it reveals the terrifying truths about herself and the secrets that threaten to tear her family apart.", FRIDAY
Get Schooled,Yongtaek Chae / GARAM HAN,883687.0,Drama,9.76,407.7,"Hwajin Na's teaching techniques are pretty violent for someone who works in the Ministry of Education. That being said, when punishments don't seem to work on even the worst of school bullies, there is no better man for the job. Sometimes you can't get a good education until those bullies are taught a lesson.", SUNDAY
Lookism,Taejun Pak,33.9,Drama,9.79,2.2,"Daniel is an unattractive loner who wakes up in a different body. Now tall, handsome, and cooler than ever in his new form, Daniel aims to achieve everything he couldn't before. How far will he go to keep his body... and his secrets?", SUNDAY
From a Knight to a Lady,Ink. / Hyerim Sung,218511.0,Fantasy,9.64,275.9,"Estelle meets her untimely death as a valiant knight of the Kingdom of Ersha. But death is not the end for Estelle -- three years after her demise, she finds herself reincarnated in the body of Lucifela Aydin, the spoiled and cold-hearted daughter of a count in the Empire of Jansgar. To her dismay, she finds that her country fell to Jansgar years ago, and that she is now betrothed to Zedekiah Heint, the son of a duke and her adversary in her previous life. Can Estelle discover the truth behind her death while attempting to navigate her new life as Lucifela?", SUNDAY
Purple Hyacinth,Ephemerys / Sophism,9.5,Mystery,9.91,1.3,"Her ability to detect lies has made her an outstanding officer of the law , despite being haunted by her inability to save the ones she loved from a gruesome fate many years ago. Now, she uses her powerful gift to defend the defenseless at any cost , even if it means teaming up with a deadly assassin to fight evil in a world gone mad.", TUESDAY
Odd Girl Out,Morangji,15.8,Drama,9.84,796.4,"After a successful winter break makeover, Nari is finally ready for her high school debut. But somehow, she ends up friends with the three prettiest girls in school! Follow Nari as she tries to navigate her brand new high school life surrounded by beauties.", TUESDAY
Unwritten Death,MaracuyasArt,158001.0,Romance,9.74,181.8,"Adiel is a shy boy with a special gift. He can see the afterlife! For as much as he tries to ignore his abilities, his world will be turned upside down when he meets Death, a lonely deity that yearns for human company. When a new threat endangers the wellbeing of his world, they must work together to save themselves from an infernal catastrophe. Will Adiel be able to return to a normal life? Or is there something else that awaits him?", TUESDAY
It's Mine,LuckS,7.2,Thriller,9.73,1.0,"There's nothing that Yohan Do doesn't know about his crush, Dajeong. Where she sits in class, works after school... and even where she lives. But unable to approach her, he watches her every move from afar and will do anything to protect her. Anything."," MON, THU"
Secret Playlist,2F,2.3,Romance,9.66,560.6,"Hanju is your ordinary university studentâ€¦ except for the fact that she's also the up-and-coming Metube cover artist, PLII. When popular boy group member Levi takes notice of PLII and requests to collaborate, Hanju will do anything to hide her secret identity. But as the two grow closer working on a class project, Hanju's cover begins to unravel. Will Levi discover her secret?", FRIDAY
Seasons of Blossom,HONGDUCK / NEMONE,3.2,Romance,9.86,584.9,"Oh, to be young and in love. Oh, to be wild and carefree. The springtime of life is intense, tumultuous, and at times, oh so confusing. Spring, summer, fall and winter -- love blossoms in all seasons."," TUE, SAT"
Death of a Pop Star,Violet Karim,2.3,Romance,9.34,542.4,"Number one on the pop charts and in the hearts of fans world-wide, Sophie Lim is at the top of her game -- until she takes a tumble from the top of the stairs. Now she's dead, and it turns out it's harder to build a career from six feet under. But lucky for her, the Grim Reaper's her number one fan!", SATURDAY
Before We Knew It,Nakano Mayaka,3.5,Romance,8.82,699.0,"A stranger to love, Kano's only romantic experience lies in novels. Her love of books has driven her to pursue a career in editing. When she's assigned to work with playboy best-selling author Kagaya, she becomes determined to succeed despite their ever-complicating relationship!", SUNDAY
No Longer A Heroine!,Maenggi Ki,2.0,Romance,9.38,396.3,"Lisa Cheon used to be the nation's favorite on-screen idol, but swiftly falls from grace after being framed as a drug addict. She is offered the opportunity to turn it all around by starring on a new TV show, but it won't be easy: her character's love interest is her ex-boyfriend, and she's too nervous to act without alcohol. Can Lisa regain what she has lost and face the demons of her past?", MONDAY
Viral Hit,the gom (happybooks2u) / jungmi,60620.0,Action,9.83,395.9,"Scrawny high school student Hobin Yoo is probably the last guy you'd expect to star in a NewTube channel that revolves around fighting. But after following some advice from a mysterious NewTube channel, Hobin is soon knocking out guys stronger than him and raking in more money than he could have ever dreamed of. Can Hobin keep this up, or will he eventually meet his match?", TUESDAY
"Date First, Love Later",Taejun Pak / Kim Junghyun,2.5,Romance,9.5,141.5,"Jaerim Lee, a student in film studies major, needed a way to quiet down the rumors that he's into guys. Gaeun Cha, a student in screenwriting major, needed to get away from the dorky senior who was always hitting on her. The two of them begin a contractual relationship to solve their problems, but as they get to know each other, Gaeun starts to fall for Jaerim's charm little by little...", WEDNESDAY
Let Me Stay Over Tonight!,Yunana / Heabun,678444.0,Romance,9.42,272.4,"28-year-old Gyuri Gam wakes up one morning after a night of heavy drinking. She suddenly recalls that someone at work asked her out, but can't remember who it was! Gyuri narrows it down to three possibilities: Seunghu, her hot co-worker who is nice to her; Myeongseok, her talented but cranky boss who she's sure hates her; and Leo, a popular actor who anybody would kill to date. At first, Gyuri thinks the identity of her secret admirer is obvious... but is it?", MONDAY
Lost in Translation,Jjolee,4.5,Drama,9.71,576.7,"The up-and-coming K-pop group Mayhem is steadily climbing the charts, but fame doesn't come for free. Bad Boy front man of the group Wyld knows this all too well. Forced to take on a controversial persona behind his fellow members' backs to help keep the momentum going, can Wyld keep sight of himself beneath all the lies and scandals? Or will he become his own false persona?", FRIDAY
"Mom, I'm Sorry",MiTi / GUGU,3.9,Drama,9.72,760.5,"""Mom, I'm sorry. Please don't die."" When Henry realizes death is at his mother's doorstep, he strikes a deal with a lifespan dealer to give years of his own life to his ailing mother. Now, his mother is a 20-year-old college student with a full life ahead of her, and Henry devotes his remaining days to helping her live life to the fullest. But things turn complicated when his friend falls in love with her!", FRIDAY
Madame Outlaw,Junk Ren / WmW,535638.0,Historical,9.54,257.2,"1842. Thaddeus murdered Estelle's brother, but only Estelle knows. When he convinces her family that they should be wed, Estelle goes through with the wedding only to steal Thaddeus' coveted map of the Oregon Trail, his horse-drawn carriage, and his stable boy. She then embarks on a nation-wide adventure with a growing band of criminals. Their destination? The West--where she can be free of the oppressive aristocracy she left behind. The only problem is that Thaddeus will do everything in his power to bring her back.", FRIDAY
Back to You,Honey B,3.1,Drama,9.7,648.7,"What if an unexpected accident suddenly transported you back to ten years ago? For Hayoung, suddenly traveling back in time to high school means the opportunity to save the life of Jaehyun, the one person she's always loved... Will she be able to change both of their fates?", FRIDAY
To You Who Swallowed a Star,ARI,1.5,Romance,9.51,321.9,"When Jiu Seo moves out of her childhood friend's mansion and into a small one-bedroom apartment, she thinks her world is ending -- that is, until she meets Hajun and Hayul, the neglected children who live downstairs. When a scouting offer comes in for Hajun to join an idol survival program, Jiu encourages him to audition, completely unaware of how it will change the trajectory of her and everyone else's lives forever.", MONDAY
Heavenly Roommates,MARO / kang jaegeon,163300.0,Fantasy,9.52,191.9,"As a rabbit who lost her baby to a tiger, Myoryeong is infuriated by the cruel ways of the jungle. She delves into spiritual training to become divine and create an ideal world, but her resolve weakens with time. Just when she's settled for the status quo, the god she serves sends her down to earth with an impossible quest: finding the ""udumbara,"" a mythical flower that will save the human world. Her partner is none other than Hanho, the very tiger responsible for her baby's death! Will the two enemies set aside their past conflict and rescue humanity?", WEDNESDAY
She Would Never Know,Cafelatte / JINHA,991292.0,Romance,9.06,360.0,"Gentle in demeanor yet fiercely independent and competent, Songa is a top assistant brand manager at Klar Cosmetics who gets things done with a smile. Thriving in life, she is suddenly caught off guard by her charming junior colleague's enigmatic warning, ""Don't put on that lipstick."" Then an unexpected revelation changes everything.", THURSDAY
Neon Revenge,MURO,140430.0,Action,9.68,267.3,"No one would have ever guessed that nerdy-looking Seongbin Cha is actually Neon Mask, the internet hero popular for punishing violent, bullying teens on ViewTube. He won't rest until he eradicates every last delinquent in the country. Can he stomp them all out with the help of his bodyguards, or will they come back stronger than ever?", WEDNESDAY
The Spark in Your Eyes,Gisong / NemGa,973686.0,Fantasy,9.66,188.9,"Erkin, a young pharmacist from the north, was orphaned from the war between the Northern Nations and Mormeratta. After making a name for himself in Mormeratta, he is summoned to treat a mysterious ""master of the castle"" whom no one has ever seen. He reluctantly agrees, hoping it will bring him one step closer to finding the infamous Witch of the Sun who killed his parents during the war. Little does he know, on his quest for vengeance, the witch may have been by his side all along. What will Erkin do when confronted by his sworn enemy turned friend?", SATURDAY
The Croaking,echorise,5.0,Fantasy,9.79,550.0,"The Roost - the world's most prestigious military academy - has never accepted a Crow into its ranks. Until now. However, the conditions surrounding Scra's acceptance are shrouded in conspiracy, and his new roommate Ky won't rest until he finds out just where he goes every night. Between flight tests, classes, and Murders, Scra, Ky and Ree must band together to uncover the truth about their utopia and the whispers of a superweapon - ""The Croaking"" - that are seeping from the cracks.", SATURDAY
There's Love Hidden in Lies,Kawai Aporo,814665.0,Romance,8.81,260.5,"There's nothing worse than having the guy you've secretly crushed on for ten years say you're like his mom. When Natsume Mishima is given a chance to be in a fake relationship with Chikage, the hottest guy in her class to make her crush Yuuki jealous, she takes it -- even though she hates lying. Will this web of lies get her the guy she wants?", SUNDAY
Raven Saga,Chihiro Howe,792670.0,Fantasy,9.73,180.6,"Secluded deep within the forest, Wen has never experienced life outside her cottage home. Alongside her over-protective grandmother, they both live under a protective seal that had kept them unseen from the rest of the world. Every day she is told to remain safe and to never go beyond the woods past the stone markers. However, curiosity takes hold of her as she longs to experience the vast outside world for herself. But little did she know the real mystery and danger that lies behind her doorstep.", FRIDAY
Midnight Rain,Pani,1.3,Drama,9.1,343.2,"For work purposes, Noemi's family settled in the estate of one of the wealthiest families in the country. There she meets Blade, the hot-headed prince, and Soren, the illegitimate son. Enjoying simple days of innocence and love, Noemi's happy life quickly shatters into complete darkness. After tragedy, jealousy and betrayal, what will be waiting for Blade, Soren, and Noemi at the end of the road? Will love be able to save them?", MONDAY
The Girl Downstairs,Songah Min,2.9,Romance,9.6,528.7,"When Joon moves into his new apartment on his first day of college, he wasn't expecting beautiful ex-celebrity Duna to be living downstairs. Joon tries to avoid her at first, but finds himself growing more and more curious about her mysterious life.", WEDNESDAY
The Nuna at Our Office,Juin Kim / Taejun Pak Webtoon Company,368698.0,Drama,9.57,204.9,"When Manager Son is sent to a new department, his boring office life takes a sweet turn. There, he meets Manager Ahn, an older colleague whose competence and charming aura leave him in awe. But as Manager Son grows closer to her, he realizes there's more to her strong, independent front than meets the eye. And soon enough, he begins to understand why office crushes can get complicated.", FRIDAY
After School Lessonsfor Unripe Apples,WasakBasak / JANE,194208.0,Drama,9.82,110.0,"Mi-ae is just a normal middle school girl trying to survive school. She likes reading comics, the pop group ""The Fire Boys"", and karaoke. One day, a boy she used to know transfers to her school and begins to stir up trouble. No matter what she does, it seems he just doesn't appreciate her efforts to get to know him. What's up with that?", SUNDAY
Bad Signs,Nawa,177346.0,Comedy,9.56,251.1,"The pilots fudged their flight-checks and the plane engine's probably going to blow, but what else can you expect when Mercury is in retrograde? So much for the paradisiacal vacation these twelve contestants signed up for. Now all twelve members of the zodiac are trapped on a real desert island with nothing to eat but each other and some monkeys. Who will win? Who will survive? Only the stars know for sure.", SATURDAY
Lone,Mel0h,1.5,Fantasy,9.72,314.0,"Born without magic in a world full of witches, Lone is determined to claw her way to the top of wizarding school if it kills her -- and it just well might! After a deal with the devil improves her magical aptitude and leaves her with a parasitic demon lord stuck to her forehead, Lone's dream is finally within reach. Now she just has to survive long enough to graduate high school...and help Lord Beelxaroth retake his rightful throne as King of Hell so that he'll finally get out of her hair.", SATURDAY
Tales of Greed,Soonkki,185973.0,Thriller,9.33,162.3,"Every person has something they desire, whether it's beauty, wealth, or power. Depending on what you're willing to risk, you could have anything your heart desires. You could be beautiful with the swipe of an app or become anyone with the press of a button -- but it all comes with a price. How far would you be willing to go to get what you wish for?", SATURDAY
Moonlight Beauty Parlor,Jimena Aranda,1.5,Drama,9.67,155.3,"Ina Yun is left without a job or home after she gets fired and her house burns down. Her luck takes a turn when Hyeondu Seo, owner of the Moonlight Beauty Parlor, offers her a place to stay as well as a job -- on one condition! Hyeondu suffers from insomnia, and it seems Ina's presence is the only thing that allows him to sleep through the night. If she agrees to help him sleep at night, she can stay. As Ina spends more time with with Hyeondu, her heart begins to skip a beat when she sees how thoughtful he is with each of his clients. Is Hyeondu only keeping Ina around to help him sleep, or do his feelings run deeper?", SATURDAY
Money Game,Bae Jin-Soo,33873.0,Thriller,8.51,51.8,"Eight participants, 100 days, and a shared pot of money amounting to 44.8 billion won (around 38 million USD). This is Money Game, a reality TV show, where participants try to spend as little as possible to walk away with as much as they can. Marooned in a specially designed TV set with nothing but a set of clothes and a rule book, every item they purchase is 1,000 times the original price. How much money will the participants manage to keep?", TUESDAY
Crown of Feathers,Nicki Pau Preto / Foxkirin,984245.0,Fantasy,9.22,300.0,"In a world ruled by fierce warrior queens, a grand empire was built upon the backs of Phoenix Ridersâ€”legendary heroes who soared through the sky on wings of fireâ€”until a war between two sisters ripped it all apart.
 â€‹
 Sixteen years later, Veronyka is a war orphan who dreams of becoming a Phoenix Rider from the stories of old. After a shocking betrayal from her sister, Veronyka sets out alone to find the fabled Phoenix Ridersâ€”and will stop at nothing to join their ranks.", WEDNESDAY
Pyramid Game,Dalgonyak,720233.0,Drama,9.53,173.8,"Every Thursday afternoon, once a month, students at Love High cast their votes in a popularity poll. The result? A brutal ranking system that determines the entire social hierarchy of the school. After starting at the bottom, can new transfer student Suji make her way to the top of the pyramid? Or will she topple the game altogether?", THURSDAY
Fluidum,GirlsOnFilm / ValeriaM,1.1,Drama,9.11,199.2,"Jesse was born like every citizen in the Fluidum universe, spending their first 20 years shifting seamlessly between a male and female body. Now with only one year left until they must choose one body for the rest of their life, Jesse is questioning the unquestionable... why decide at all?", WEDNESDAY
The Sound of Another,Eun Hyuk Park,2.1,Sci-fi,8.84,187.6,"In the near future, everything we experience in our everyday lives can be marketed as content for the masses. On the top video-sharing platform, Vvolume, content creators compete for views, likes, and subscribers in a fierce struggle for fame and wealth. The glitz and glamour of the ""Vvolumer"" lifestyle takes its toll, however, leading top livestreamer Songyi Baek to make an attempt on her own life -- only to meet Seungho Nam, a kind and hardworking young man with a voice like honey. Brought together by fate, Songyi and Seungho must navigate their way through this digital society, where every aspect of their lives is on display for the world to see.", TUESDAY
The World is Money and Power,Baek June / Thresher,184029.0,Action,9.68,162.1,"Gunwoo Dahn has vowed to overthrow the status quo of the dysfunctional high school he recently transferred to, where rich and powerful third-generation chaebol heirs call the shots and gambling runs rampant. But does Gunwoo have what it takes to beat the odds, defeat the Taekyeong Oh Family, and restore law and order to his high school?", SUNDAY
Random Chat,Dongwoo Han / Dohee Lee,366790.0,Drama,9.62,311.2,"If you lived through , or are still living through , high school, you can relate to Joon-Woo. An outcast and a loner, his only joy comes from the hours he spends on his phone, randomly chatting with strangers. It's all weird and meaningless, until Joon-Woo strikes gold , as he's matched in a private chat with a pretty young girl his age. Jackpot! But when he discovers that this same pretty girl is actually his classmate Seung Ah, things get a little too real for a guy who's never even remotely been kissed.", SATURDAY
If AI Ruled the World,POGO / HOOPA,323100.0,Sci-fi,9.63,150.8,"Welcome to a world where artificial intelligence can drive your car, look after you when you're ill, and solve all of your problems. But all of this convenience comes at a price. AI can pose a threat when it no longer has humanity's best interests at heart. Can humans learn to coexist with AI?", MONDAY
She Bites!,MandaRat / NoChanJoo,19257.0,Slice of life,9.7,42.3,"Hanna, a 28-year-old college student, is getting her second undergraduate degree to become a lawyer. However, she soon realizes that she was supposed to go to a law school instead of getting a second undergraduate degree. Out of money and out of place, she joins a start-up business club to make money. Working with four other slightly weird teammates, they are starting a pet clothing business together. This feels a little funky, but everything will be fine... right?", THURSDAY
CODE HELIX,Na-eum So,496930.0,Drama,9.36,36.0,"Rendra, an intelligent high school student known for his computer talents, discovers that he can use his ability to hack as a way of exposing the misdeeds and hypocrisy of his classmates under the pseudonym ""Helix."" What starts as an attempt to enact justice on a chauvinist classmate moves further and further into a moral gray area as Rendra/Helix starts to look for new targets. Will he take things too far? Will his secret identity be discovered?", WEDNESDAY
Garden Club Detective Squad,Nikki Dibya Wardhana / Bryan Arfiandy,19608.0,Mystery,9.73,180.0,"Gardening and solving crime aren't what straight-A student Yeon Han thought she would be focusing on at her new school. But when she discovers a notebook that contains clues to a 15-year-old murder mystery, she and the other members of her new gardening club realize the murderer not only has access to the school -- they probably work for the school. Can the gardening club squad figure out who committed the murder even though the principal and their teachers seem desperate to cover it up?", WEDNESDAY
The Snake and the Flower,52chu,693249.0,Historical,9.7,207.6,"Long ago, an emperor suddenly decided to execute the members of his court. Only after being offered a girl named Aehwa, did the emperor's rampage stop. The emperor cherishes his ""flower"" dearly. When Aehwa expresses an interest in music, the Emperor makes Harang Kang her personal court musician. However, the emperor decreed that only he can lay eyes on Aehwa and has Harang's eyes destroyed. After finding out the true cause of his father's death, Harang swears revenge on both Aehwa and the Emperor. In this twisted realm of snakes and flowers, who will prevail?", SATURDAY
From Morning to Night,JiEun Son,66773.0,Fantasy,9.33,115.8,"When the town of Night relocates all of the townspeople to build a temple for its goddess Obscurity, 12-year-old Mane and 9-year-old Nox start a new life in the neighboring town of Morning. Trouble awaits them when Nox vanishes as if by magic, and Mane turns to Morning's goddess Lumiere for help. Told that he must vanquish Obscurity to save his kidnapped sibling, Mane is given the body of a grown man and sent on a perilous journey. Will Mane be able to save his sibling in a world where nothing is as it seems?", TUESDAY
Da Yomanville Gang,Jason King,1.7,Drama,9.22,234.7,"Layla just wants a new, quiet start in Yomanville. However, along with the relocation, comes new faces... and new feelings for her. Good thing she's confident and great under pressure--oh wait, that's not right. - Who wrote this synopsis?! - Anyway, join Layla, Dylan, Sally, Marv and Joe, as well as some rather unsavoury characters, in Da Yomanville Gang!", TUESDAY
"Take Me, I'm Yours",RoseBean / One Punch Rabbit,191969.0,Drama,9.46,179.8,"Have you ever had a ghost as a roommate? That's the situation that confronts Chanyang Jeong when a haunting turns into a homestay. The ""ghost"" in question is actually Jian Nam, heir to the Baekgyeong Group, who's currently in a coma after a suspicious accident. Jian needs to remain near Chanyang for three months to find out if he can wake up from the coma, so the two are forced to cohabitate. Can Chanyang uncover the truth behind Jian's accident, and endure living with her unexpected guest for three months?", THURSDAY
Kidults,Hahim,188648.0,Slice of life,9.49,148.0,"Five childhood friends -- Dabin, Jaeha, Taehyeon, Sehui, and Hanbin -- make a promise to always stay friends, even after they become adults. Fast forward to the present, where they are now 24-year-olds facing pivotal moments in their journey into adulthood. As they face different challenges, the five friends try to carve out their own paths and figure out what they want for the future, lending each other a helping hand or offering a shoulder to cry on along the way. And amidst it all, unfamiliar feelings begin to blossom where there was once only friendshipâ€¦", MONDAY
A Man's Man,Dogado / Lucas,144623.0,Drama,9.78,88.8,"Yuhyeon becomes the youngest CEO of Hansung, a successful electronics company built on toxic work culture, but nobody he cares about is there to celebrate with him. After a night of drinking and wondering if he could change the past, he wakes up the next morning, 20 years younger at the beginning of his career. Armed with the experience and insights that made him CEO, Yuhyeon begins to revisit broken relationships and battle the enablers of Hansung's cut-throat work environment. But he does not yet know how changing the past will affect his future...", THURSDAY
See No Evil,Gwangtanto / Maduru,243752.0,Thriller,9.61,134.4,"Bonggang Choi has a secret. He lives a quiet life as an ordinary college student, but he was born with a special ability -- he can read minds. Preferring to keep to himself, he doesn't act on the things he learns while mind reading. But when he reads the mind of Hun Jo, another student at his school, and finds out that he may have killed someone, Bonggang soon discovers that he can't close his eyes to evil forever.", FRIDAY
IF,JongBeom Lee,2.4,Action,9.03,150.8,"Hiroshi is shocked when he finds out that his imaginary friend, Enigami, isn't so imaginary after all! Then he realizes his beastly companion can battle it out with other kids' imaginary friends, and things start to get even stranger. But when these playground games turn serious and kids start disappearing, Hiroshi realizes that the consequences here might be more real than he first thoughtâ€¦", SUNDAY
Dr. Frost,Keon Tan,354005.0,Mystery,9.8,377.0,"College professor by day, and bartender by night, psychologist Dr. Frost believes in one simple belief. Humans are all the same. He uses this tenet to guide his practice, and solves the puzzles of the human mind one by one.", SATURDAY
Beyond Virtual,EGA,294484.0,Drama,9.18,154.2,"High schooler Sora Yeom has the perfect life: she lives in a beautiful house, wears the latest fashion, and even goes on dates with her favorite idol member. There's just one catch -- none of it is real! Sora lives out her fantasy life in VR, making reality feel boring by comparison. With the help of her best friend Yiheon, who dreams of being a real-life idol, Sora must find her place in a world where most people would rather escape into VR than face reality.", FRIDAY
Maya's World,Tupaikidal,82708.0,Drama,9.21,91.8,"As a high school student, Maya had her heart broken by two of the boys in her life, Tara and Radi, in rapid succession. Four years later, she is at the top of her class at university. Regardless, Maya finds herself strangely unmoved until she comes across a student doing ceramics and decides to change her course of study. She later comes across Radi at a local cafÃ© and experiences a wellspring of emotion she thought she had put behind her. Can Maya forge a path forward or will she be dragged back into the unhappiness of her past?", WEDNESDAY
